area,beds,count,median,q25,q75,min,max
cheshunt,2,12,392500.0,368750.0,456250.0,299999,585000
cheshunt,3,38,470000.0,450000.0,500000.0,385000,725000
chingford,2,21,500000.0,450000.0,575000.0,375000,850000
chingford,3,91,599995.0,530000.0,650000.0,420000,950000
epping,2,14,475000.0,463750.0,500000.0,425000,575000
epping,3,42,655000.0,575000.0,699749.25,345000,1200000
isle_of_dogs,2,4,537500.0,518750.0,600000.0,500000,750000
isle_of_dogs,3,18,700000.0,650000.0,750000.0,575000,900000
leytonstone,2,29,535000.0,475000.0,600000.0,325000,675000
leytonstone,3,63,650000.0,600000.0,707500.0,429500,1150000
loughton,2,24,500000.0,468750.0,556250.0,425000,720000
loughton,3,45,550000.0,475000.0,700000.0,350000,2500000
nunhead,2,8,562500.0,512500.0,650000.0,425000,820000
nunhead,3,27,770000.0,712475.0,912500.0,590000,2250000
putney,2,12,757500.0,680000.0,843737.5,600000,1100000
putney,3,27,850000.0,745000.0,1087500.0,550000,2150000
surrey_quays,2,1,725000.0,725000.0,725000.0,725000,725000
surrey_quays,3,13,800000.0,715000.0,900000.0,600000,1850000
theydon_bois,3,5,800000.0,750000.0,899995.0,650000,900000
walthamstow,2,28,600000.0,532500.0,650000.0,250000,750000
walthamstow,3,86,675000.0,600000.0,750000.0,380000,1150000
wanstead,2,9,675000.0,575000.0,775000.0,485000,1250000
wanstead,3,17,860000.0,775000.0,950000.0,625000,1150000
wimbledon,2,38,750000.0,675000.0,925000.0,380000,2500000
wimbledon,3,92,975000.0,850000.0,1150000.0,535000,3000000
woodford,2,11,550000.0,532000.0,600000.0,485000,895000
woodford,3,47,650000.0,592500.0,750000.0,400000,1200000
