price,beds,property_type,url
619950,4,Detached,https://www.rightmove.co.uk/properties/160504646#/?channel=RES_BUY
225000,1,Apartment,https://www.rightmove.co.uk/properties/142288586#/?channel=RES_BUY
265000,1,Terraced,https://www.rightmove.co.uk/properties/133311212#/?channel=RES_BUY
283000,2,Coach House,https://www.rightmove.co.uk/properties/163001903#/?channel=RES_BUY
305000,1,Terraced,https://www.rightmove.co.uk/properties/156568421#/?channel=RES_BUY
335000,2,Terraced,https://www.rightmove.co.uk/properties/161941169#/?channel=RES_BUY
349995,2,Semi-Detached,https://www.rightmove.co.uk/properties/155488118#/?channel=RES_BUY
349995,2,Terraced,https://www.rightmove.co.uk/properties/158406773#/?channel=RES_BUY
350000,2,Coach House,https://www.rightmove.co.uk/properties/159098519#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/161234825#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/152446220#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162355322#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/162138569#/?channel=RES_BUY
359995,2,Semi-Detached,https://www.rightmove.co.uk/properties/162732164#/?channel=RES_BUY
359995,2,House,https://www.rightmove.co.uk/properties/161329109#/?channel=RES_BUY
367500,2,Terraced,https://www.rightmove.co.uk/properties/151993670#/?channel=RES_BUY
367500,2,Terraced,https://www.rightmove.co.uk/properties/158228294#/?channel=RES_BUY
367500,2,Terraced,https://www.rightmove.co.uk/properties/162576956#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/160783031#/?channel=RES_BUY
375000,2,End of Terrace,https://www.rightmove.co.uk/properties/161374871#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/162947828#/?channel=RES_BUY
375000,3,End of Terrace,https://www.rightmove.co.uk/properties/162624236#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/161806532#/?channel=RES_BUY
375000,2,Detached Bungalow,https://www.rightmove.co.uk/properties/162768680#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/162388754#/?channel=RES_BUY
375000,3,Semi-Detached,https://www.rightmove.co.uk/properties/154655009#/?channel=RES_BUY
380000,3,Terraced,https://www.rightmove.co.uk/properties/156613250#/?channel=RES_BUY
380000,4,Terraced,https://www.rightmove.co.uk/properties/87087648#/?channel=RES_BUY
384995,2,End of Terrace,https://www.rightmove.co.uk/properties/160720919#/?channel=RES_BUY
385000,3,Terraced,https://www.rightmove.co.uk/properties/160984802#/?channel=RES_BUY
395000,3,Terraced,https://www.rightmove.co.uk/properties/162795035#/?channel=RES_BUY
400000,2,Semi-Detached,https://www.rightmove.co.uk/properties/148536113#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/158061749#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/156644528#/?channel=RES_BUY
400000,2,Detached,https://www.rightmove.co.uk/properties/160781114#/?channel=RES_BUY
