price,beds,property_type,url
225000,1,Maisonette,https://www.rightmove.co.uk/properties/149580518#/?channel=RES_BUY
235000,1,Flat,https://www.rightmove.co.uk/properties/155760287#/?channel=RES_BUY
250000,1,Terraced,https://www.rightmove.co.uk/properties/162671522#/?channel=RES_BUY
250000,1,End of Terrace,https://www.rightmove.co.uk/properties/149581937#/?channel=RES_BUY
250000,2,Terraced,https://www.rightmove.co.uk/properties/161428103#/?channel=RES_BUY
260000,1,Maisonette,https://www.rightmove.co.uk/properties/149582525#/?channel=RES_BUY
265000,1,Maisonette,https://www.rightmove.co.uk/properties/149582384#/?channel=RES_BUY
265000,1,End of Terrace,https://www.rightmove.co.uk/properties/159056996#/?channel=RES_BUY
265000,1,End of Terrace,https://www.rightmove.co.uk/properties/162920192#/?channel=RES_BUY
275000,1,Terraced,https://www.rightmove.co.uk/properties/149582444#/?channel=RES_BUY
275000,1,Terraced,https://www.rightmove.co.uk/properties/149582579#/?channel=RES_BUY
275000,1,Terraced,https://www.rightmove.co.uk/properties/149586641#/?channel=RES_BUY
285000,3,Semi-Detached,https://www.rightmove.co.uk/properties/157696463#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/149582819#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/162108371#/?channel=RES_BUY
315000,1,End of Terrace,https://www.rightmove.co.uk/properties/153758483#/?channel=RES_BUY
319995,1,Apartment,https://www.rightmove.co.uk/properties/162881921#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/160263320#/?channel=RES_BUY
325000,2,Semi-Detached,https://www.rightmove.co.uk/properties/159581744#/?channel=RES_BUY
325000,1,Apartment,https://www.rightmove.co.uk/properties/162764264#/?channel=RES_BUY
340000,2,Detached,https://www.rightmove.co.uk/properties/155750549#/?channel=RES_BUY
345000,1,House,https://www.rightmove.co.uk/properties/162646376#/?channel=RES_BUY
674950,3,Semi-Detached,https://www.rightmove.co.uk/properties/157277945#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162673730#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/162659063#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/160702403#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162289451#/?channel=RES_BUY
350000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159536018#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162926033#/?channel=RES_BUY
350000,3,Not Specified,https://www.rightmove.co.uk/properties/161397056#/?channel=RES_BUY
350000,2,Semi-Detached,https://www.rightmove.co.uk/properties/159029597#/?channel=RES_BUY
350000,3,Detached,https://www.rightmove.co.uk/properties/161935625#/?channel=RES_BUY
360000,3,Terraced,https://www.rightmove.co.uk/properties/162589868#/?channel=RES_BUY
360000,2,Bungalow,https://www.rightmove.co.uk/properties/150534713#/?channel=RES_BUY
360000,2,End of Terrace,https://www.rightmove.co.uk/properties/159931904#/?channel=RES_BUY
375000,3,End of Terrace,https://www.rightmove.co.uk/properties/162069677#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/160252229#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/162906128#/?channel=RES_BUY
375000,3,End of Terrace,https://www.rightmove.co.uk/properties/162551624#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/162457061#/?channel=RES_BUY
375000,2,End of Terrace,https://www.rightmove.co.uk/properties/162086912#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/161040101#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/159857702#/?channel=RES_BUY
385000,3,End of Terrace,https://www.rightmove.co.uk/properties/162018926#/?channel=RES_BUY
385000,2,End of Terrace,https://www.rightmove.co.uk/properties/162508259#/?channel=RES_BUY
