price,beds,property_type,url
120000,1,Retirement Property,https://www.rightmove.co.uk/properties/147359156#/?channel=RES_BUY
212500,1,House,https://www.rightmove.co.uk/properties/158335406#/?channel=RES_BUY
229995,1,House,https://www.rightmove.co.uk/properties/161937302#/?channel=RES_BUY
239995,1,House,https://www.rightmove.co.uk/properties/161937434#/?channel=RES_BUY
240000,1,Terraced,https://www.rightmove.co.uk/properties/160169735#/?channel=RES_BUY
240000,1,Semi-Detached,https://www.rightmove.co.uk/properties/162050816#/?channel=RES_BUY
260000,2,Detached,https://www.rightmove.co.uk/properties/156256802#/?channel=RES_BUY
260000,2,End of Terrace,https://www.rightmove.co.uk/properties/158585822#/?channel=RES_BUY
275000,3,Chalet,https://www.rightmove.co.uk/properties/151868756#/?channel=RES_BUY
280000,4,Terraced,https://www.rightmove.co.uk/properties/154240133#/?channel=RES_BUY
290000,3,Terraced,https://www.rightmove.co.uk/properties/160697390#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/162706061#/?channel=RES_BUY
300000,3,House,https://www.rightmove.co.uk/properties/159867008#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/161270042#/?channel=RES_BUY
300000,3,House,https://www.rightmove.co.uk/properties/160354106#/?channel=RES_BUY
300000,2,End of Terrace,https://www.rightmove.co.uk/properties/161350694#/?channel=RES_BUY
300000,3,End of Terrace,https://www.rightmove.co.uk/properties/160527677#/?channel=RES_BUY
300000,2,End of Terrace,https://www.rightmove.co.uk/properties/162472436#/?channel=RES_BUY
300000,1,Terraced,https://www.rightmove.co.uk/properties/160261361#/?channel=RES_BUY
310000,2,End of Terrace,https://www.rightmove.co.uk/properties/161080607#/?channel=RES_BUY
315000,2,Cottage,https://www.rightmove.co.uk/properties/162106373#/?channel=RES_BUY
320000,2,Terraced,https://www.rightmove.co.uk/properties/159618911#/?channel=RES_BUY
325000,2,House,https://www.rightmove.co.uk/properties/161964881#/?channel=RES_BUY
325000,3,Terraced,https://www.rightmove.co.uk/properties/153792107#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/162855647#/?channel=RES_BUY
325000,3,Terraced,https://www.rightmove.co.uk/properties/161951144#/?channel=RES_BUY
325000,3,End of Terrace,https://www.rightmove.co.uk/properties/160298615#/?channel=RES_BUY
325000,3,End of Terrace,https://www.rightmove.co.uk/properties/161586404#/?channel=RES_BUY
325000,3,Terraced,https://www.rightmove.co.uk/properties/146888285#/?channel=RES_BUY
325000,2,House,https://www.rightmove.co.uk/properties/162266288#/?channel=RES_BUY
325000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160163246#/?channel=RES_BUY
325000,3,Terraced,https://www.rightmove.co.uk/properties/162231134#/?channel=RES_BUY
325000,3,Semi-Detached,https://www.rightmove.co.uk/properties/145796021#/?channel=RES_BUY
325000,2,Bungalow,https://www.rightmove.co.uk/properties/160110347#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/160221308#/?channel=RES_BUY
330000,3,House,https://www.rightmove.co.uk/properties/161080064#/?channel=RES_BUY
335000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162109310#/?channel=RES_BUY
340000,5,House of Multiple Occupation,https://www.rightmove.co.uk/properties/157412837#/?channel=RES_BUY
340000,5,Terraced,https://www.rightmove.co.uk/properties/156817550#/?channel=RES_BUY
345000,2,Bungalow,https://www.rightmove.co.uk/properties/160768145#/?channel=RES_BUY
350000,2,Bungalow,https://www.rightmove.co.uk/properties/162727775#/?channel=RES_BUY
350000,3,End of Terrace,https://www.rightmove.co.uk/properties/161622230#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/160283345#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/162918344#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/156727805#/?channel=RES_BUY
350000,3,End of Terrace,https://www.rightmove.co.uk/properties/158173736#/?channel=RES_BUY
350000,2,Bungalow,https://www.rightmove.co.uk/properties/149934977#/?channel=RES_BUY
350000,3,House,https://www.rightmove.co.uk/properties/161876180#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/162239120#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/153376688#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/162111746#/?channel=RES_BUY
350000,5,Terraced,https://www.rightmove.co.uk/properties/157023146#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162185627#/?channel=RES_BUY
350000,2,Not Specified,https://www.rightmove.co.uk/properties/158062430#/?channel=RES_BUY
