price,beds,property_type,url
299999,2,Semi-Detached,https://www.rightmove.co.uk/properties/144796745#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/87128322#/?channel=RES_BUY
350000,2,Cottage,https://www.rightmove.co.uk/properties/162246239#/?channel=RES_BUY
375000,2,End of Terrace,https://www.rightmove.co.uk/properties/161402507#/?channel=RES_BUY
385000,2,Terraced,https://www.rightmove.co.uk/properties/159259883#/?channel=RES_BUY
385000,3,End of Terrace,https://www.rightmove.co.uk/properties/162567062#/?channel=RES_BUY
385000,2,House,https://www.rightmove.co.uk/properties/162431198#/?channel=RES_BUY
400000,2,Terraced,https://www.rightmove.co.uk/properties/162153362#/?channel=RES_BUY
420000,3,Terraced,https://www.rightmove.co.uk/properties/159355697#/?channel=RES_BUY
425000,3,Terraced,https://www.rightmove.co.uk/properties/162149546#/?channel=RES_BUY
425000,3,End of Terrace,https://www.rightmove.co.uk/properties/158427398#/?channel=RES_BUY
435000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159731030#/?channel=RES_BUY
435000,3,Terraced,https://www.rightmove.co.uk/properties/162860807#/?channel=RES_BUY
445000,2,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/159635279#/?channel=RES_BUY
450000,3,Semi-Detached,https://www.rightmove.co.uk/properties/163006940#/?channel=RES_BUY
450000,3,Terraced,https://www.rightmove.co.uk/properties/161785691#/?channel=RES_BUY
450000,3,End of Terrace,https://www.rightmove.co.uk/properties/156253292#/?channel=RES_BUY
450000,3,Terraced,https://www.rightmove.co.uk/properties/161238347#/?channel=RES_BUY
450000,3,End of Terrace,https://www.rightmove.co.uk/properties/162223286#/?channel=RES_BUY
450000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160757750#/?channel=RES_BUY
450000,2,Bungalow,https://www.rightmove.co.uk/properties/158838164#/?channel=RES_BUY
450000,3,Terraced,https://www.rightmove.co.uk/properties/162222980#/?channel=RES_BUY
460000,3,Terraced,https://www.rightmove.co.uk/properties/162605180#/?channel=RES_BUY
465000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160550603#/?channel=RES_BUY
465000,3,End of Terrace,https://www.rightmove.co.uk/properties/159306353#/?channel=RES_BUY
465000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160786679#/?channel=RES_BUY
