price,beds,property_type,url
375000,2,House,https://www.rightmove.co.uk/properties/154016192#/?channel=RES_BUY
400000,2,Terraced,https://www.rightmove.co.uk/properties/162264656#/?channel=RES_BUY
400000,2,End of Terrace,https://www.rightmove.co.uk/properties/157061744#/?channel=RES_BUY
420000,3,End of Terrace,https://www.rightmove.co.uk/properties/162085157#/?channel=RES_BUY
425000,2,Terraced,https://www.rightmove.co.uk/properties/162766502#/?channel=RES_BUY
425000,1,Terraced,https://www.rightmove.co.uk/properties/162191087#/?channel=RES_BUY
450000,3,Terraced,https://www.rightmove.co.uk/properties/158013140#/?channel=RES_BUY
450000,2,End of Terrace,https://www.rightmove.co.uk/properties/160625927#/?channel=RES_BUY
450000,2,House,https://www.rightmove.co.uk/properties/158468147#/?channel=RES_BUY
450000,3,Terraced,https://www.rightmove.co.uk/properties/146638856#/?channel=RES_BUY
450000,4,Terraced,https://www.rightmove.co.uk/properties/161199380#/?channel=RES_BUY
450000,2,House,https://www.rightmove.co.uk/properties/157428158#/?channel=RES_BUY
450000,4,House,https://www.rightmove.co.uk/properties/160760885#/?channel=RES_BUY
475000,2,Bungalow,https://www.rightmove.co.uk/properties/159854390#/?channel=RES_BUY
475000,2,House,https://www.rightmove.co.uk/properties/162021479#/?channel=RES_BUY
475000,3,Terraced,https://www.rightmove.co.uk/properties/160947848#/?channel=RES_BUY
475000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160952285#/?channel=RES_BUY
475000,3,Terraced,https://www.rightmove.co.uk/properties/161776043#/?channel=RES_BUY
480000,2,Terraced Bungalow,https://www.rightmove.co.uk/properties/157396115#/?channel=RES_BUY
485000,3,End of Terrace,https://www.rightmove.co.uk/properties/154519835#/?channel=RES_BUY
490000,3,End of Terrace,https://www.rightmove.co.uk/properties/159951122#/?channel=RES_BUY
495000,3,Terraced,https://www.rightmove.co.uk/properties/150501764#/?channel=RES_BUY
499995,3,Semi-Detached,https://www.rightmove.co.uk/properties/148290659#/?channel=RES_BUY
500000,3,House,https://www.rightmove.co.uk/properties/152652737#/?channel=RES_BUY
500000,3,End of Terrace,https://www.rightmove.co.uk/properties/161124110#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/158570513#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/150526448#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/159403928#/?channel=RES_BUY
500000,5,Town House,https://www.rightmove.co.uk/properties/158100323#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/162106829#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/162733817#/?channel=RES_BUY
500000,3,House,https://www.rightmove.co.uk/properties/162108065#/?channel=RES_BUY
515000,3,Terraced,https://www.rightmove.co.uk/properties/156939041#/?channel=RES_BUY
525000,2,House,https://www.rightmove.co.uk/properties/159845903#/?channel=RES_BUY
525000,3,Semi-Detached,https://www.rightmove.co.uk/properties/157341545#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/160305860#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/155686703#/?channel=RES_BUY
525000,3,House,https://www.rightmove.co.uk/properties/160148786#/?channel=RES_BUY
525000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159598622#/?channel=RES_BUY
525000,3,House,https://www.rightmove.co.uk/properties/157329332#/?channel=RES_BUY
525000,3,Semi-Detached,https://www.rightmove.co.uk/properties/157829078#/?channel=RES_BUY
535000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161008619#/?channel=RES_BUY
535000,3,Terraced,https://www.rightmove.co.uk/properties/161211020#/?channel=RES_BUY
535000,3,Terraced,https://www.rightmove.co.uk/properties/155803469#/?channel=RES_BUY
535000,3,House,https://www.rightmove.co.uk/properties/159653489#/?channel=RES_BUY
535000,2,End of Terrace,https://www.rightmove.co.uk/properties/162553214#/?channel=RES_BUY
545000,3,Terraced,https://www.rightmove.co.uk/properties/145718867#/?channel=RES_BUY
545000,4,Terraced,https://www.rightmove.co.uk/properties/160673459#/?channel=RES_BUY
550000,3,House,https://www.rightmove.co.uk/properties/162748778#/?channel=RES_BUY
550000,3,Terraced,https://www.rightmove.co.uk/properties/162410669#/?channel=RES_BUY
550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162641906#/?channel=RES_BUY
550000,3,House,https://www.rightmove.co.uk/properties/158209196#/?channel=RES_BUY
550000,4,Town House,https://www.rightmove.co.uk/properties/160084043#/?channel=RES_BUY
550000,3,End of Terrace,https://www.rightmove.co.uk/properties/157738811#/?channel=RES_BUY
550000,3,End of Terrace,https://www.rightmove.co.uk/properties/162963896#/?channel=RES_BUY
550000,3,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/157291931#/?channel=RES_BUY
550000,3,End of Terrace,https://www.rightmove.co.uk/properties/160078139#/?channel=RES_BUY
550000,3,End of Terrace,https://www.rightmove.co.uk/properties/159386597#/?channel=RES_BUY
560000,3,House,https://www.rightmove.co.uk/properties/147379313#/?channel=RES_BUY
565000,3,House,https://www.rightmove.co.uk/properties/157740809#/?channel=RES_BUY
575000,4,Semi-Detached,https://www.rightmove.co.uk/properties/157120763#/?channel=RES_BUY
575000,2,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/162764723#/?channel=RES_BUY
575000,3,House,https://www.rightmove.co.uk/properties/162800966#/?channel=RES_BUY
575000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161533133#/?channel=RES_BUY
575000,3,House,https://www.rightmove.co.uk/properties/162462314#/?channel=RES_BUY
575000,3,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/161649659#/?channel=RES_BUY
575000,4,Terraced,https://www.rightmove.co.uk/properties/161135978#/?channel=RES_BUY
575000,4,Terraced,https://www.rightmove.co.uk/properties/162243707#/?channel=RES_BUY
585000,3,Detached,https://www.rightmove.co.uk/properties/148440638#/?channel=RES_BUY
585000,3,Terraced,https://www.rightmove.co.uk/properties/159008744#/?channel=RES_BUY
595000,4,End of Terrace,https://www.rightmove.co.uk/properties/162884681#/?channel=RES_BUY
599995,3,Semi-Detached,https://www.rightmove.co.uk/properties/160635791#/?channel=RES_BUY
