price,beds,property_type,url
100000,3,Terraced,https://www.rightmove.co.uk/properties/162521795#/?channel=RES_BUY
110000,1,Apartment,https://www.rightmove.co.uk/properties/156515243#/?channel=RES_BUY
125000,1,Apartment,https://www.rightmove.co.uk/properties/162191675#/?channel=RES_BUY
135000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162264680#/?channel=RES_BUY
160000,2,Apartment,https://www.rightmove.co.uk/properties/156722834#/?channel=RES_BUY
160000,2,Terraced,https://www.rightmove.co.uk/properties/162375413#/?channel=RES_BUY
170000,3,Terraced,https://www.rightmove.co.uk/properties/161725307#/?channel=RES_BUY
170000,2,Apartment,https://www.rightmove.co.uk/properties/154956761#/?channel=RES_BUY
170000,2,Apartment,https://www.rightmove.co.uk/properties/162854342#/?channel=RES_BUY
175000,2,End of Terrace,https://www.rightmove.co.uk/properties/156429245#/?channel=RES_BUY
180000,2,House,https://www.rightmove.co.uk/properties/162193274#/?channel=RES_BUY
180000,1,Terraced,https://www.rightmove.co.uk/properties/162453947#/?channel=RES_BUY
180000,1,Terraced,https://www.rightmove.co.uk/properties/157447868#/?channel=RES_BUY
180000,1,Semi-Detached,https://www.rightmove.co.uk/properties/161651849#/?channel=RES_BUY
190000,2,Terraced,https://www.rightmove.co.uk/properties/160790756#/?channel=RES_BUY
190000,2,End of Terrace,https://www.rightmove.co.uk/properties/154221980#/?channel=RES_BUY
190000,2,Terraced,https://www.rightmove.co.uk/properties/159346886#/?channel=RES_BUY
190000,1,End of Terrace,https://www.rightmove.co.uk/properties/162117740#/?channel=RES_BUY
190000,1,Terraced,https://www.rightmove.co.uk/properties/162812483#/?channel=RES_BUY
190000,2,Terraced,https://www.rightmove.co.uk/properties/157516088#/?channel=RES_BUY
1000000,6,Detached,https://www.rightmove.co.uk/properties/162804341#/?channel=RES_BUY
190000,2,Terraced,https://www.rightmove.co.uk/properties/162779294#/?channel=RES_BUY
190000,2,Terraced,https://www.rightmove.co.uk/properties/156515342#/?channel=RES_BUY
190000,2,End of Terrace,https://www.rightmove.co.uk/properties/162806585#/?channel=RES_BUY
200000,1,Semi-Detached,https://www.rightmove.co.uk/properties/157172039#/?channel=RES_BUY
200000,2,Terraced,https://www.rightmove.co.uk/properties/160460531#/?channel=RES_BUY
200000,3,Terraced,https://www.rightmove.co.uk/properties/154298948#/?channel=RES_BUY
200000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162046397#/?channel=RES_BUY
200000,1,Terraced,https://www.rightmove.co.uk/properties/87136329#/?channel=RES_BUY
200000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162973136#/?channel=RES_BUY
200000,4,End of Terrace,https://www.rightmove.co.uk/properties/153965060#/?channel=RES_BUY
200000,2,Flat,https://www.rightmove.co.uk/properties/160491920#/?channel=RES_BUY
200000,2,Terraced,https://www.rightmove.co.uk/properties/162821891#/?channel=RES_BUY
210000,2,Terraced,https://www.rightmove.co.uk/properties/163004987#/?channel=RES_BUY
210000,3,Terraced,https://www.rightmove.co.uk/properties/157932302#/?channel=RES_BUY
215000,2,Terraced,https://www.rightmove.co.uk/properties/154120547#/?channel=RES_BUY
215000,2,End of Terrace,https://www.rightmove.co.uk/properties/157775882#/?channel=RES_BUY
220000,2,Terraced,https://www.rightmove.co.uk/properties/158217557#/?channel=RES_BUY
220000,3,End of Terrace,https://www.rightmove.co.uk/properties/160793123#/?channel=RES_BUY
220000,2,End of Terrace,https://www.rightmove.co.uk/properties/162357437#/?channel=RES_BUY
220000,2,Coach House,https://www.rightmove.co.uk/properties/158636984#/?channel=RES_BUY
220000,2,Detached,https://www.rightmove.co.uk/properties/154021595#/?channel=RES_BUY
220000,2,Terraced,https://www.rightmove.co.uk/properties/162307652#/?channel=RES_BUY
220000,3,End of Terrace,https://www.rightmove.co.uk/properties/160821869#/?channel=RES_BUY
220000,1,Semi-Detached,https://www.rightmove.co.uk/properties/144000404#/?channel=RES_BUY
220000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160085657#/?channel=RES_BUY
220000,3,End of Terrace,https://www.rightmove.co.uk/properties/143969399#/?channel=RES_BUY
230000,3,Terraced,https://www.rightmove.co.uk/properties/150139241#/?channel=RES_BUY
230000,3,Terraced,https://www.rightmove.co.uk/properties/159751868#/?channel=RES_BUY
230000,2,Coach House,https://www.rightmove.co.uk/properties/159373052#/?channel=RES_BUY
230000,3,Terraced,https://www.rightmove.co.uk/properties/162859358#/?channel=RES_BUY
230000,2,Terraced,https://www.rightmove.co.uk/properties/162729530#/?channel=RES_BUY
230000,3,End of Terrace,https://www.rightmove.co.uk/properties/162451241#/?channel=RES_BUY
230000,1,House,https://www.rightmove.co.uk/properties/160657067#/?channel=RES_BUY
230000,2,Terraced,https://www.rightmove.co.uk/properties/158406683#/?channel=RES_BUY
235000,3,Terraced,https://www.rightmove.co.uk/properties/162488021#/?channel=RES_BUY
235000,1,Terraced,https://www.rightmove.co.uk/properties/156639839#/?channel=RES_BUY
240000,2,Terraced,https://www.rightmove.co.uk/properties/160778681#/?channel=RES_BUY
240000,3,Terraced,https://www.rightmove.co.uk/properties/157615442#/?channel=RES_BUY
240000,2,Semi-Detached,https://www.rightmove.co.uk/properties/159332894#/?channel=RES_BUY
240000,2,Terraced,https://www.rightmove.co.uk/properties/162860549#/?channel=RES_BUY
240000,2,Semi-Detached,https://www.rightmove.co.uk/properties/153033068#/?channel=RES_BUY
240000,2,Detached,https://www.rightmove.co.uk/properties/162919145#/?channel=RES_BUY
240000,2,Terraced,https://www.rightmove.co.uk/properties/161452751#/?channel=RES_BUY
240000,2,Terraced,https://www.rightmove.co.uk/properties/156910505#/?channel=RES_BUY
240000,2,Terraced,https://www.rightmove.co.uk/properties/160146764#/?channel=RES_BUY
240000,2,Terraced,https://www.rightmove.co.uk/properties/157629362#/?channel=RES_BUY
