price,beds,property_type,url
125000,1,House Boat,https://www.rightmove.co.uk/properties/150903587#/?channel=RES_BUY
270000,3,House Boat,https://www.rightmove.co.uk/properties/157301633#/?channel=RES_BUY
360000,1,Apartment,https://www.rightmove.co.uk/properties/149005970#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/160828463#/?channel=RES_BUY
500000,3,House Boat,https://www.rightmove.co.uk/properties/159890969#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/161694701#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/155043050#/?channel=RES_BUY
575000,3,Terraced,https://www.rightmove.co.uk/properties/162593348#/?channel=RES_BUY
599995,3,Terraced,https://www.rightmove.co.uk/properties/161975837#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/157434881#/?channel=RES_BUY
600000,1,Flat,https://www.rightmove.co.uk/properties/141456944#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/147868556#/?channel=RES_BUY
630000,4,Terraced,https://www.rightmove.co.uk/properties/161867576#/?channel=RES_BUY
650000,3,Terraced,https://www.rightmove.co.uk/properties/157498328#/?channel=RES_BUY
650000,3,Terraced,https://www.rightmove.co.uk/properties/155802914#/?channel=RES_BUY
685000,3,Terraced,https://www.rightmove.co.uk/properties/151771361#/?channel=RES_BUY
700000,3,Terraced,https://www.rightmove.co.uk/properties/161554478#/?channel=RES_BUY
700000,3,House,https://www.rightmove.co.uk/properties/157063205#/?channel=RES_BUY
700000,3,Terraced,https://www.rightmove.co.uk/properties/161697758#/?channel=RES_BUY
725000,3,Terraced,https://www.rightmove.co.uk/properties/158028788#/?channel=RES_BUY
750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/153449738#/?channel=RES_BUY
750000,2,End of Terrace,https://www.rightmove.co.uk/properties/160520507#/?channel=RES_BUY
750000,3,Terraced,https://www.rightmove.co.uk/properties/151936715#/?channel=RES_BUY
750000,3,End of Terrace,https://www.rightmove.co.uk/properties/159578450#/?channel=RES_BUY
750000,3,House,https://www.rightmove.co.uk/properties/162742223#/?channel=RES_BUY
750000,3,House,https://www.rightmove.co.uk/properties/159781721#/?channel=RES_BUY
800000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161496899#/?channel=RES_BUY
810000,4,Semi-Detached,https://www.rightmove.co.uk/properties/159203081#/?channel=RES_BUY
850000,4,End of Terrace,https://www.rightmove.co.uk/properties/158766455#/?channel=RES_BUY
875000,4,House,https://www.rightmove.co.uk/properties/155802860#/?channel=RES_BUY
875000,4,House,https://www.rightmove.co.uk/properties/162866522#/?channel=RES_BUY
875000,4,House,https://www.rightmove.co.uk/properties/155255105#/?channel=RES_BUY
900000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161947181#/?channel=RES_BUY
900000,4,Terraced,https://www.rightmove.co.uk/properties/87099510#/?channel=RES_BUY
925000,4,End of Terrace,https://www.rightmove.co.uk/properties/159599429#/?channel=RES_BUY
925000,3,Apartment,https://www.rightmove.co.uk/properties/139912496#/?channel=RES_BUY
1100000,2,Flat,https://www.rightmove.co.uk/properties/155654261#/?channel=RES_BUY
2450000,5,Semi-Detached,https://www.rightmove.co.uk/properties/156726434#/?channel=RES_BUY
2995000,7,Terraced,https://www.rightmove.co.uk/properties/146697059#/?channel=RES_BUY
