price,beds,property_type,url
325000,2,Terraced,https://www.rightmove.co.uk/properties/159448229#/?channel=RES_BUY
400000,2,End of Terrace,https://www.rightmove.co.uk/properties/161832677#/?channel=RES_BUY
400000,2,Flat,https://www.rightmove.co.uk/properties/159448235#/?channel=RES_BUY
410000,2,End of Terrace,https://www.rightmove.co.uk/properties/162982751#/?channel=RES_BUY
415000,2,Detached Bungalow,https://www.rightmove.co.uk/properties/161209856#/?channel=RES_BUY
429500,3,Terraced,https://www.rightmove.co.uk/properties/162811277#/?channel=RES_BUY
475000,2,Terraced,https://www.rightmove.co.uk/properties/162588632#/?channel=RES_BUY
475000,2,End of Terrace,https://www.rightmove.co.uk/properties/162747719#/?channel=RES_BUY
475000,2,House,https://www.rightmove.co.uk/properties/151006073#/?channel=RES_BUY
475000,2,Terraced,https://www.rightmove.co.uk/properties/143771264#/?channel=RES_BUY
475000,2,Terraced,https://www.rightmove.co.uk/properties/144681227#/?channel=RES_BUY
475000,3,Terraced,https://www.rightmove.co.uk/properties/159229577#/?channel=RES_BUY
495500,5,Terraced,https://www.rightmove.co.uk/properties/162520511#/?channel=RES_BUY
500000,2,Block of Apartments,https://www.rightmove.co.uk/properties/162981074#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/158670842#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/152511620#/?channel=RES_BUY
500000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160239893#/?channel=RES_BUY
515000,4,Terraced,https://www.rightmove.co.uk/properties/155088776#/?channel=RES_BUY
525000,3,End of Terrace,https://www.rightmove.co.uk/properties/162864665#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/72698702#/?channel=RES_BUY
525000,3,Terraced,https://www.rightmove.co.uk/properties/154826510#/?channel=RES_BUY
525000,3,House,https://www.rightmove.co.uk/properties/161938985#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/162353075#/?channel=RES_BUY
525000,3,Terraced,https://www.rightmove.co.uk/properties/162543245#/?channel=RES_BUY
535000,2,Terraced,https://www.rightmove.co.uk/properties/162862358#/?channel=RES_BUY
535000,2,End of Terrace,https://www.rightmove.co.uk/properties/133496030#/?channel=RES_BUY
535000,3,Terraced,https://www.rightmove.co.uk/properties/154850012#/?channel=RES_BUY
540000,3,Terraced,https://www.rightmove.co.uk/properties/159066311#/?channel=RES_BUY
540000,3,Terraced,https://www.rightmove.co.uk/properties/151984181#/?channel=RES_BUY
540000,3,Terraced,https://www.rightmove.co.uk/properties/145807676#/?channel=RES_BUY
550000,3,End of Terrace,https://www.rightmove.co.uk/properties/161694227#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/162774788#/?channel=RES_BUY
550000,2,Semi-Detached,https://www.rightmove.co.uk/properties/161861096#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/162298499#/?channel=RES_BUY
550000,4,Terraced,https://www.rightmove.co.uk/properties/162317033#/?channel=RES_BUY
550000,3,Terraced,https://www.rightmove.co.uk/properties/155348171#/?channel=RES_BUY
575000,3,Terraced,https://www.rightmove.co.uk/properties/161661179#/?channel=RES_BUY
575000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162681323#/?channel=RES_BUY
585000,3,Terraced,https://www.rightmove.co.uk/properties/157100990#/?channel=RES_BUY
595000,4,Semi-Detached,https://www.rightmove.co.uk/properties/160591622#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/161371445#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/160081034#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/161974172#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/158936402#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/162225602#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/158417957#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/160626977#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/161496998#/?channel=RES_BUY
