price,beds,property_type,url
425000,3,Maisonette,https://www.rightmove.co.uk/properties/157662008#/?channel=RES_BUY
550000,3,House,https://www.rightmove.co.uk/properties/161729654#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/156802244#/?channel=RES_BUY
600000,2,Ground Flat,https://www.rightmove.co.uk/properties/162680663#/?channel=RES_BUY
660000,2,House,https://www.rightmove.co.uk/properties/160039511#/?channel=RES_BUY
665000,2,Terraced,https://www.rightmove.co.uk/properties/162437384#/?channel=RES_BUY
675000,4,Terraced,https://www.rightmove.co.uk/properties/162053801#/?channel=RES_BUY
675000,4,House,https://www.rightmove.co.uk/properties/157936394#/?channel=RES_BUY
685000,2,Terraced,https://www.rightmove.co.uk/properties/162553118#/?channel=RES_BUY
699950,3,House,https://www.rightmove.co.uk/properties/160044299#/?channel=RES_BUY
699999,3,Semi-Detached,https://www.rightmove.co.uk/properties/161825972#/?channel=RES_BUY
700000,3,Terraced,https://www.rightmove.co.uk/properties/161840360#/?channel=RES_BUY
700000,3,House,https://www.rightmove.co.uk/properties/161686700#/?channel=RES_BUY
725000,3,House,https://www.rightmove.co.uk/properties/158720945#/?channel=RES_BUY
725000,2,End of Terrace,https://www.rightmove.co.uk/properties/162228002#/?channel=RES_BUY
740000,3,House,https://www.rightmove.co.uk/properties/161585873#/?channel=RES_BUY
750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159849839#/?channel=RES_BUY
750000,3,Terraced,https://www.rightmove.co.uk/properties/162133595#/?channel=RES_BUY
750000,2,House,https://www.rightmove.co.uk/properties/162728300#/?channel=RES_BUY
765000,2,Terraced,https://www.rightmove.co.uk/properties/159609188#/?channel=RES_BUY
765000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162707672#/?channel=RES_BUY
770000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161238731#/?channel=RES_BUY
775000,3,End of Terrace,https://www.rightmove.co.uk/properties/161647775#/?channel=RES_BUY
795000,2,Apartment,https://www.rightmove.co.uk/properties/157489157#/?channel=RES_BUY
800000,3,Terraced,https://www.rightmove.co.uk/properties/161303465#/?channel=RES_BUY
800000,4,House,https://www.rightmove.co.uk/properties/161422421#/?channel=RES_BUY
825000,2,Terraced,https://www.rightmove.co.uk/properties/158918051#/?channel=RES_BUY
850000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161331143#/?channel=RES_BUY
850000,3,End of Terrace,https://www.rightmove.co.uk/properties/153540344#/?channel=RES_BUY
875000,4,Terraced,https://www.rightmove.co.uk/properties/156252614#/?channel=RES_BUY
