price,beds,property_type,url
295000,1,Character Property,https://www.rightmove.co.uk/properties/159612746#/?channel=RES_BUY
300000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160264301#/?channel=RES_BUY
300000,1,Terraced,https://www.rightmove.co.uk/properties/160079522#/?channel=RES_BUY
310000,1,End of Terrace,https://www.rightmove.co.uk/properties/162389354#/?channel=RES_BUY
325000,2,End of Terrace,https://www.rightmove.co.uk/properties/156293066#/?channel=RES_BUY
345000,2,End of Terrace,https://www.rightmove.co.uk/properties/162120362#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162055655#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162187691#/?channel=RES_BUY
360000,2,Terraced,https://www.rightmove.co.uk/properties/151709558#/?channel=RES_BUY
360000,2,End of Terrace,https://www.rightmove.co.uk/properties/160481237#/?channel=RES_BUY
369950,2,Semi-Detached,https://www.rightmove.co.uk/properties/162130853#/?channel=RES_BUY
375000,1,Cottage,https://www.rightmove.co.uk/properties/87162150#/?channel=RES_BUY
375000,3,End of Terrace,https://www.rightmove.co.uk/properties/158715902#/?channel=RES_BUY
375000,2,Cottage,https://www.rightmove.co.uk/properties/154932590#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/162742310#/?channel=RES_BUY
389000,2,Cottage,https://www.rightmove.co.uk/properties/151038110#/?channel=RES_BUY
395000,3,Semi-Detached,https://www.rightmove.co.uk/properties/87123309#/?channel=RES_BUY
400000,2,Terraced,https://www.rightmove.co.uk/properties/161416766#/?channel=RES_BUY
420000,2,Flat,https://www.rightmove.co.uk/properties/161209673#/?channel=RES_BUY
425000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159031604#/?channel=RES_BUY
425000,3,End of Terrace,https://www.rightmove.co.uk/properties/162780728#/?channel=RES_BUY
425000,2,End of Terrace,https://www.rightmove.co.uk/properties/160346294#/?channel=RES_BUY
425000,2,Terraced,https://www.rightmove.co.uk/properties/159759899#/?channel=RES_BUY
445000,3,Terraced,https://www.rightmove.co.uk/properties/159283148#/?channel=RES_BUY
449000,2,End of Terrace,https://www.rightmove.co.uk/properties/159018614#/?channel=RES_BUY
450000,3,Terraced,https://www.rightmove.co.uk/properties/159979730#/?channel=RES_BUY
450000,2,Detached,https://www.rightmove.co.uk/properties/158712953#/?channel=RES_BUY
450000,2,Terraced,https://www.rightmove.co.uk/properties/162614348#/?channel=RES_BUY
450000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162769586#/?channel=RES_BUY
450000,4,Character Property,https://www.rightmove.co.uk/properties/161676548#/?channel=RES_BUY
450000,4,Terraced,https://www.rightmove.co.uk/properties/159804911#/?channel=RES_BUY
460000,4,Terraced,https://www.rightmove.co.uk/properties/161395676#/?channel=RES_BUY
460000,3,End of Terrace,https://www.rightmove.co.uk/properties/146225102#/?channel=RES_BUY
475000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160753130#/?channel=RES_BUY
475000,3,End of Terrace,https://www.rightmove.co.uk/properties/162183335#/?channel=RES_BUY
475000,3,Semi-Detached,https://www.rightmove.co.uk/properties/144368072#/?channel=RES_BUY
485000,2,End of Terrace,https://www.rightmove.co.uk/properties/159817988#/?channel=RES_BUY
490000,3,Semi-Detached,https://www.rightmove.co.uk/properties/158176106#/?channel=RES_BUY
495000,3,Cottage,https://www.rightmove.co.uk/properties/161323871#/?channel=RES_BUY
495000,3,Terraced,https://www.rightmove.co.uk/properties/153178010#/?channel=RES_BUY
500000,3,End of Terrace,https://www.rightmove.co.uk/properties/162253532#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/162405488#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/161768879#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/162957002#/?channel=RES_BUY
520000,3,Bungalow,https://www.rightmove.co.uk/properties/159115412#/?channel=RES_BUY
525000,3,Terraced,https://www.rightmove.co.uk/properties/160078370#/?channel=RES_BUY
530000,3,Terraced,https://www.rightmove.co.uk/properties/157745144#/?channel=RES_BUY
530000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160826597#/?channel=RES_BUY
550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160952696#/?channel=RES_BUY
550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/150128951#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/154785989#/?channel=RES_BUY
550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/157022810#/?channel=RES_BUY
550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160027925#/?channel=RES_BUY
550000,3,Terraced,https://www.rightmove.co.uk/properties/162936008#/?channel=RES_BUY
565000,3,Semi-Detached,https://www.rightmove.co.uk/properties/147800180#/?channel=RES_BUY
575000,3,Terraced,https://www.rightmove.co.uk/properties/162149591#/?channel=RES_BUY
575000,2,Semi-Detached,https://www.rightmove.co.uk/properties/163000214#/?channel=RES_BUY
575000,5,Semi-Detached,https://www.rightmove.co.uk/properties/157987649#/?channel=RES_BUY
585000,3,End of Terrace,https://www.rightmove.co.uk/properties/160072583#/?channel=RES_BUY
590000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161104379#/?channel=RES_BUY
595000,4,Terraced,https://www.rightmove.co.uk/properties/159751208#/?channel=RES_BUY
595000,3,Character Property,https://www.rightmove.co.uk/properties/162737978#/?channel=RES_BUY
595000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160107947#/?channel=RES_BUY
610000,4,Detached,https://www.rightmove.co.uk/properties/157003733#/?channel=RES_BUY
625000,3,Mews,https://www.rightmove.co.uk/properties/162451751#/?channel=RES_BUY
625000,3,Link Detached House,https://www.rightmove.co.uk/properties/160405100#/?channel=RES_BUY
670000,4,Town House,https://www.rightmove.co.uk/properties/161911109#/?channel=RES_BUY
675000,4,Terraced,https://www.rightmove.co.uk/properties/162594302#/?channel=RES_BUY
675000,3,Semi-Detached,https://www.rightmove.co.uk/properties/149875514#/?channel=RES_BUY
675000,3,Terraced,https://www.rightmove.co.uk/properties/158857397#/?channel=RES_BUY
675000,3,Semi-Detached,https://www.rightmove.co.uk/properties/154796546#/?channel=RES_BUY
675000,4,Terraced,https://www.rightmove.co.uk/properties/160580543#/?channel=RES_BUY
675000,4,Terraced,https://www.rightmove.co.uk/properties/160591004#/?channel=RES_BUY
695000,4,Semi-Detached,https://www.rightmove.co.uk/properties/149562368#/?channel=RES_BUY
700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/158079287#/?channel=RES_BUY
700000,4,Terraced,https://www.rightmove.co.uk/properties/160577249#/?channel=RES_BUY
700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162866552#/?channel=RES_BUY
700000,3,House,https://www.rightmove.co.uk/properties/150783113#/?channel=RES_BUY
700000,3,Detached,https://www.rightmove.co.uk/properties/162645392#/?channel=RES_BUY
725000,3,Detached,https://www.rightmove.co.uk/properties/160184492#/?channel=RES_BUY
750000,4,End of Terrace,https://www.rightmove.co.uk/properties/160650926#/?channel=RES_BUY
750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162232805#/?channel=RES_BUY
750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162007970#/?channel=RES_BUY
750000,4,End of Terrace,https://www.rightmove.co.uk/properties/160249238#/?channel=RES_BUY
750000,3,Bungalow,https://www.rightmove.co.uk/properties/162316832#/?channel=RES_BUY
775000,3,Bungalow,https://www.rightmove.co.uk/properties/160625777#/?channel=RES_BUY
795000,3,Detached,https://www.rightmove.co.uk/properties/162886706#/?channel=RES_BUY
800000,4,Detached,https://www.rightmove.co.uk/properties/157355291#/?channel=RES_BUY
800000,4,Detached,https://www.rightmove.co.uk/properties/160671032#/?channel=RES_BUY
800000,4,Detached,https://www.rightmove.co.uk/properties/158464745#/?channel=RES_BUY
800000,3,House,https://www.rightmove.co.uk/properties/161162882#/?channel=RES_BUY
820000,3,Detached,https://www.rightmove.co.uk/properties/153880991#/?channel=RES_BUY
825000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160463264#/?channel=RES_BUY
830000,3,Detached,https://www.rightmove.co.uk/properties/159574847#/?channel=RES_BUY
849500,4,Detached,https://www.rightmove.co.uk/properties/149966903#/?channel=RES_BUY
850000,4,End of Terrace,https://www.rightmove.co.uk/properties/159955121#/?channel=RES_BUY
850000,4,Detached,https://www.rightmove.co.uk/properties/157896746#/?channel=RES_BUY
850000,3,Detached,https://www.rightmove.co.uk/properties/158613599#/?channel=RES_BUY
850000,4,Detached,https://www.rightmove.co.uk/properties/162316490#/?channel=RES_BUY
860000,2,Detached,https://www.rightmove.co.uk/properties/152599370#/?channel=RES_BUY
865000,4,Detached,https://www.rightmove.co.uk/properties/156910298#/?channel=RES_BUY
875000,4,Detached,https://www.rightmove.co.uk/properties/139911500#/?channel=RES_BUY
875000,4,Detached,https://www.rightmove.co.uk/properties/155643398#/?channel=RES_BUY
875000,3,Detached,https://www.rightmove.co.uk/properties/162183395#/?channel=RES_BUY
875000,4,Terraced,https://www.rightmove.co.uk/properties/162547274#/?channel=RES_BUY
895000,4,End of Terrace,https://www.rightmove.co.uk/properties/160053011#/?channel=RES_BUY
895000,3,Bungalow,https://www.rightmove.co.uk/properties/161034296#/?channel=RES_BUY
900000,3,Detached,https://www.rightmove.co.uk/properties/154959584#/?channel=RES_BUY
915000,4,Semi-Detached,https://www.rightmove.co.uk/properties/158830529#/?channel=RES_BUY
925000,3,Detached,https://www.rightmove.co.uk/properties/161388962#/?channel=RES_BUY
925000,3,Semi-Detached,https://www.rightmove.co.uk/properties/87083190#/?channel=RES_BUY
935000,4,Bungalow,https://www.rightmove.co.uk/properties/159809621#/?channel=RES_BUY
935000,5,Detached,https://www.rightmove.co.uk/properties/86544924#/?channel=RES_BUY
950000,4,Detached,https://www.rightmove.co.uk/properties/149442167#/?channel=RES_BUY
950000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162599567#/?channel=RES_BUY
969950,4,Detached,https://www.rightmove.co.uk/properties/156089174#/?channel=RES_BUY
975000,5,Detached,https://www.rightmove.co.uk/properties/157603655#/?channel=RES_BUY
975000,4,Detached,https://www.rightmove.co.uk/properties/160598045#/?channel=RES_BUY
995000,3,Detached,https://www.rightmove.co.uk/properties/158613056#/?channel=RES_BUY
1060000,4,Detached,https://www.rightmove.co.uk/properties/158589116#/?channel=RES_BUY
1075000,4,Detached,https://www.rightmove.co.uk/properties/156790676#/?channel=RES_BUY
1100000,5,Semi-Detached,https://www.rightmove.co.uk/properties/148355984#/?channel=RES_BUY
1100000,4,Detached,https://www.rightmove.co.uk/properties/161579732#/?channel=RES_BUY
1100000,4,Semi-Detached,https://www.rightmove.co.uk/properties/159950645#/?channel=RES_BUY
1100000,4,Detached,https://www.rightmove.co.uk/properties/160020785#/?channel=RES_BUY
1120000,4,Detached,https://www.rightmove.co.uk/properties/162720122#/?channel=RES_BUY
1125000,4,Detached,https://www.rightmove.co.uk/properties/160736243#/?channel=RES_BUY
1150000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162638954#/?channel=RES_BUY
1150000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162997943#/?channel=RES_BUY
1150000,4,Detached,https://www.rightmove.co.uk/properties/160308566#/?channel=RES_BUY
1150000,5,Detached,https://www.rightmove.co.uk/properties/162391445#/?channel=RES_BUY
1175000,4,Semi-Detached,https://www.rightmove.co.uk/properties/151143902#/?channel=RES_BUY
1180000,3,End of Terrace,https://www.rightmove.co.uk/properties/159566864#/?channel=RES_BUY
