price,beds,property_type,url
155000,1,Bungalow,https://www.rightmove.co.uk/properties/162862361#/?channel=RES_BUY
290000,1,Cluster House,https://www.rightmove.co.uk/properties/157531877#/?channel=RES_BUY
324000,1,Detached,https://www.rightmove.co.uk/properties/146037254#/?channel=RES_BUY
360000,1,End of Terrace,https://www.rightmove.co.uk/properties/162970655#/?channel=RES_BUY
375000,1,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/162538832#/?channel=RES_BUY
395000,2,Terraced,https://www.rightmove.co.uk/properties/162588017#/?channel=RES_BUY
400000,2,Terraced,https://www.rightmove.co.uk/properties/159474845#/?channel=RES_BUY
400000,2,Bungalow,https://www.rightmove.co.uk/properties/160952588#/?channel=RES_BUY
400000,2,End of Terrace,https://www.rightmove.co.uk/properties/162857381#/?channel=RES_BUY
410000,2,Semi-Detached,https://www.rightmove.co.uk/properties/87112539#/?channel=RES_BUY
415000,2,Terraced,https://www.rightmove.co.uk/properties/155563955#/?channel=RES_BUY
420000,1,Detached,https://www.rightmove.co.uk/properties/155104424#/?channel=RES_BUY
425000,2,Terraced,https://www.rightmove.co.uk/properties/161393324#/?channel=RES_BUY
425000,2,Terraced,https://www.rightmove.co.uk/properties/162790454#/?channel=RES_BUY
425000,3,End of Terrace,https://www.rightmove.co.uk/properties/149637236#/?channel=RES_BUY
430000,2,Terraced,https://www.rightmove.co.uk/properties/162373709#/?channel=RES_BUY
436500,2,Terraced,https://www.rightmove.co.uk/properties/152324438#/?channel=RES_BUY
450000,2,End of Terrace,https://www.rightmove.co.uk/properties/156716417#/?channel=RES_BUY
450000,2,Terraced Bungalow,https://www.rightmove.co.uk/properties/158598758#/?channel=RES_BUY
450000,2,End of Terrace,https://www.rightmove.co.uk/properties/161489978#/?channel=RES_BUY
450000,2,Terraced,https://www.rightmove.co.uk/properties/160029290#/?channel=RES_BUY
450000,2,Terraced,https://www.rightmove.co.uk/properties/162852641#/?channel=RES_BUY
450000,2,Terraced,https://www.rightmove.co.uk/properties/160461914#/?channel=RES_BUY
450000,2,Terraced,https://www.rightmove.co.uk/properties/157867190#/?channel=RES_BUY
460000,2,Apartment,https://www.rightmove.co.uk/properties/162748802#/?channel=RES_BUY
475000,2,Terraced,https://www.rightmove.co.uk/properties/157486559#/?channel=RES_BUY
475000,3,End of Terrace,https://www.rightmove.co.uk/properties/161941058#/?channel=RES_BUY
475000,3,Terraced,https://www.rightmove.co.uk/properties/156185132#/?channel=RES_BUY
475000,3,Terraced,https://www.rightmove.co.uk/properties/158429195#/?channel=RES_BUY
485000,2,Terraced,https://www.rightmove.co.uk/properties/87116553#/?channel=RES_BUY
495000,3,Terraced,https://www.rightmove.co.uk/properties/160747556#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/161533817#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/161574077#/?channel=RES_BUY
500000,3,House,https://www.rightmove.co.uk/properties/156370868#/?channel=RES_BUY
500000,2,End of Terrace,https://www.rightmove.co.uk/properties/159379397#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/158175065#/?channel=RES_BUY
500000,2,House,https://www.rightmove.co.uk/properties/162054533#/?channel=RES_BUY
500000,3,House,https://www.rightmove.co.uk/properties/156923843#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/152012966#/?channel=RES_BUY
500000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162487598#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/160877561#/?channel=RES_BUY
500000,2,Terraced,https://www.rightmove.co.uk/properties/159770987#/?channel=RES_BUY
500000,2,Semi-Detached,https://www.rightmove.co.uk/properties/158894339#/?channel=RES_BUY
500000,2,Semi-Detached,https://www.rightmove.co.uk/properties/155902589#/?channel=RES_BUY
500000,2,End of Terrace,https://www.rightmove.co.uk/properties/159519047#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/162741533#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/149311391#/?channel=RES_BUY
510000,3,Terraced,https://www.rightmove.co.uk/properties/156219038#/?channel=RES_BUY
514000,2,Terraced,https://www.rightmove.co.uk/properties/161659355#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/159934835#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/158348735#/?channel=RES_BUY
525000,2,End of Terrace,https://www.rightmove.co.uk/properties/160557692#/?channel=RES_BUY
535000,3,Terraced,https://www.rightmove.co.uk/properties/160573862#/?channel=RES_BUY
540000,3,Terraced,https://www.rightmove.co.uk/properties/160139216#/?channel=RES_BUY
549950,3,Terraced,https://www.rightmove.co.uk/properties/162385133#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/162506837#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/161039567#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/158262014#/?channel=RES_BUY
550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160644845#/?channel=RES_BUY
550000,3,Terraced,https://www.rightmove.co.uk/properties/158986763#/?channel=RES_BUY
550000,3,Terraced,https://www.rightmove.co.uk/properties/156500750#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/155141378#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/162410444#/?channel=RES_BUY
550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161978543#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/162120455#/?channel=RES_BUY
560000,3,Terraced,https://www.rightmove.co.uk/properties/159426251#/?channel=RES_BUY
565000,2,Terraced,https://www.rightmove.co.uk/properties/162388097#/?channel=RES_BUY
575000,3,House,https://www.rightmove.co.uk/properties/162740735#/?channel=RES_BUY
575000,2,Terraced,https://www.rightmove.co.uk/properties/159867518#/?channel=RES_BUY
575000,3,End of Terrace,https://www.rightmove.co.uk/properties/158396831#/?channel=RES_BUY
575000,3,House,https://www.rightmove.co.uk/properties/87143058#/?channel=RES_BUY
575000,2,Bungalow,https://www.rightmove.co.uk/properties/146636528#/?channel=RES_BUY
575000,2,Terraced,https://www.rightmove.co.uk/properties/162910586#/?channel=RES_BUY
575000,2,Cottage,https://www.rightmove.co.uk/properties/158405078#/?channel=RES_BUY
575000,2,Terraced,https://www.rightmove.co.uk/properties/160018583#/?channel=RES_BUY
585000,3,Terraced,https://www.rightmove.co.uk/properties/157661402#/?channel=RES_BUY
585000,2,Terraced,https://www.rightmove.co.uk/properties/160640393#/?channel=RES_BUY
585000,2,Terraced,https://www.rightmove.co.uk/properties/162171080#/?channel=RES_BUY
585000,2,Terraced,https://www.rightmove.co.uk/properties/161027039#/?channel=RES_BUY
590000,3,House,https://www.rightmove.co.uk/properties/162168572#/?channel=RES_BUY
595000,3,End of Terrace,https://www.rightmove.co.uk/properties/162773018#/?channel=RES_BUY
595000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162641273#/?channel=RES_BUY
599950,3,Semi-Detached,https://www.rightmove.co.uk/properties/160489817#/?channel=RES_BUY
599950,2,Terraced,https://www.rightmove.co.uk/properties/160022213#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/160339493#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/162778499#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/161188763#/?channel=RES_BUY
600000,2,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/156855692#/?channel=RES_BUY
600000,3,End of Terrace,https://www.rightmove.co.uk/properties/156368423#/?channel=RES_BUY
600000,3,End of Terrace,https://www.rightmove.co.uk/properties/159182267#/?channel=RES_BUY
600000,3,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/161305505#/?channel=RES_BUY
600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161226152#/?channel=RES_BUY
600000,2,Terraced,https://www.rightmove.co.uk/properties/156207158#/?channel=RES_BUY
600000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162599618#/?channel=RES_BUY
600000,3,Detached,https://www.rightmove.co.uk/properties/161721485#/?channel=RES_BUY
600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162791357#/?channel=RES_BUY
600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/156821639#/?channel=RES_BUY
600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162791357#/?channel=RES_BUY
600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161226152#/?channel=RES_BUY
600000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162545498#/?channel=RES_BUY
