price,beds,property_type,url
650000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161654900#/?channel=RES_BUY
700000,4,End of Terrace,https://www.rightmove.co.uk/properties/160732088#/?channel=RES_BUY
750000,3,Detached,https://www.rightmove.co.uk/properties/157993052#/?channel=RES_BUY
775000,4,Detached,https://www.rightmove.co.uk/properties/159930530#/?channel=RES_BUY
800000,5,House,https://www.rightmove.co.uk/properties/162942788#/?channel=RES_BUY
800000,3,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/154839014#/?channel=RES_BUY
850000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162734882#/?channel=RES_BUY
850000,4,House,https://www.rightmove.co.uk/properties/161975960#/?channel=RES_BUY
899995,3,House,https://www.rightmove.co.uk/properties/162345692#/?channel=RES_BUY
900000,3,Detached,https://www.rightmove.co.uk/properties/157986983#/?channel=RES_BUY
950000,4,Semi-Detached,https://www.rightmove.co.uk/properties/158236943#/?channel=RES_BUY
995999,4,Detached,https://www.rightmove.co.uk/properties/161143973#/?channel=RES_BUY
1000000,4,Semi-Detached,https://www.rightmove.co.uk/properties/151152338#/?channel=RES_BUY
1000000,4,Semi-Detached,https://www.rightmove.co.uk/properties/157486352#/?channel=RES_BUY
1100000,5,Semi-Detached,https://www.rightmove.co.uk/properties/159150524#/?channel=RES_BUY
1150000,4,Detached,https://www.rightmove.co.uk/properties/158230844#/?channel=RES_BUY
1250000,6,Detached,https://www.rightmove.co.uk/properties/87116259#/?channel=RES_BUY
1250000,5,Semi-Detached,https://www.rightmove.co.uk/properties/162677732#/?channel=RES_BUY
1300000,5,Detached,https://www.rightmove.co.uk/properties/159083441#/?channel=RES_BUY
1350000,4,Detached,https://www.rightmove.co.uk/properties/161958638#/?channel=RES_BUY
1425000,4,Detached,https://www.rightmove.co.uk/properties/158817734#/?channel=RES_BUY
1450000,4,House,https://www.rightmove.co.uk/properties/161812496#/?channel=RES_BUY
1600000,4,Detached,https://www.rightmove.co.uk/properties/160626074#/?channel=RES_BUY
1675000,5,Detached,https://www.rightmove.co.uk/properties/162618206#/?channel=RES_BUY
1800000,5,Detached,https://www.rightmove.co.uk/properties/159975062#/?channel=RES_BUY
1800000,5,Detached,https://www.rightmove.co.uk/properties/162164183#/?channel=RES_BUY
2000000,4,Detached,https://www.rightmove.co.uk/properties/162460766#/?channel=RES_BUY
2250000,5,Detached,https://www.rightmove.co.uk/properties/148304384#/?channel=RES_BUY
3300000,5,Detached,https://www.rightmove.co.uk/properties/161618495#/?channel=RES_BUY
