price,beds,property_type,url
215000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162667805#/?channel=RES_BUY
247500,2,Terraced,https://www.rightmove.co.uk/properties/161596298#/?channel=RES_BUY
248000,2,End of Terrace,https://www.rightmove.co.uk/properties/161874776#/?channel=RES_BUY
248000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162904628#/?channel=RES_BUY
250000,3,Terraced,https://www.rightmove.co.uk/properties/162463019#/?channel=RES_BUY
260000,2,Terraced,https://www.rightmove.co.uk/properties/158379605#/?channel=RES_BUY
260000,2,End of Terrace,https://www.rightmove.co.uk/properties/159195626#/?channel=RES_BUY
260000,2,Terraced,https://www.rightmove.co.uk/properties/150687713#/?channel=RES_BUY
265000,2,End of Terrace,https://www.rightmove.co.uk/properties/156566153#/?channel=RES_BUY
269950,2,End of Terrace,https://www.rightmove.co.uk/properties/159039584#/?channel=RES_BUY
270000,2,Terraced,https://www.rightmove.co.uk/properties/158291582#/?channel=RES_BUY
281000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162905372#/?channel=RES_BUY
290000,2,Terraced,https://www.rightmove.co.uk/properties/157983146#/?channel=RES_BUY
300000,3,Terraced,https://www.rightmove.co.uk/properties/163006319#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/157725755#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/160511099#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/160216676#/?channel=RES_BUY
325000,2,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/160888184#/?channel=RES_BUY
325000,2,End of Terrace,https://www.rightmove.co.uk/properties/161598548#/?channel=RES_BUY
325000,3,Terraced,https://www.rightmove.co.uk/properties/153696707#/?channel=RES_BUY
325000,2,Semi-Detached,https://www.rightmove.co.uk/properties/157987373#/?channel=RES_BUY
325000,2,End of Terrace,https://www.rightmove.co.uk/properties/158657810#/?channel=RES_BUY
325000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162664364#/?channel=RES_BUY
895000,3,Detached Bungalow,https://www.rightmove.co.uk/properties/162950051#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/161619233#/?channel=RES_BUY
327000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162298838#/?channel=RES_BUY
340000,2,End of Terrace,https://www.rightmove.co.uk/properties/161819603#/?channel=RES_BUY
350000,3,Town House,https://www.rightmove.co.uk/properties/87130110#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/86960073#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/87151107#/?channel=RES_BUY
350000,3,House,https://www.rightmove.co.uk/properties/160343777#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/162952334#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/160157276#/?channel=RES_BUY
350000,2,Semi-Detached,https://www.rightmove.co.uk/properties/150821894#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/161772260#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/162195758#/?channel=RES_BUY
375000,3,End of Terrace,https://www.rightmove.co.uk/properties/159572450#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/154005815#/?channel=RES_BUY
375000,2,Semi-Detached,https://www.rightmove.co.uk/properties/86883063#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/161983835#/?channel=RES_BUY
375000,2,End of Terrace,https://www.rightmove.co.uk/properties/161851277#/?channel=RES_BUY
375000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162904460#/?channel=RES_BUY
375000,3,Terraced,https://www.rightmove.co.uk/properties/151984238#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/149131805#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/160105010#/?channel=RES_BUY
375000,2,Terraced,https://www.rightmove.co.uk/properties/161596127#/?channel=RES_BUY
380000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162563042#/?channel=RES_BUY
380000,3,Terraced,https://www.rightmove.co.uk/properties/156391166#/?channel=RES_BUY
895000,3,Detached Bungalow,https://www.rightmove.co.uk/properties/162950051#/?channel=RES_BUY
389000,2,Terraced,https://www.rightmove.co.uk/properties/162939689#/?channel=RES_BUY
390000,3,Terraced,https://www.rightmove.co.uk/properties/161141546#/?channel=RES_BUY
395000,2,End of Terrace,https://www.rightmove.co.uk/properties/161266022#/?channel=RES_BUY
395000,4,End of Terrace,https://www.rightmove.co.uk/properties/136470113#/?channel=RES_BUY
395000,2,Terraced,https://www.rightmove.co.uk/properties/162406106#/?channel=RES_BUY
395000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161237780#/?channel=RES_BUY
400000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162887570#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162812318#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/158080469#/?channel=RES_BUY
400000,3,Terraced,https://www.rightmove.co.uk/properties/162853883#/?channel=RES_BUY
400000,2,Bungalow,https://www.rightmove.co.uk/properties/160374440#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/87143442#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/157326656#/?channel=RES_BUY
400000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160907657#/?channel=RES_BUY
400000,3,Terraced,https://www.rightmove.co.uk/properties/158692856#/?channel=RES_BUY
400000,2,Detached Bungalow,https://www.rightmove.co.uk/properties/159104255#/?channel=RES_BUY
400000,2,Semi-Detached,https://www.rightmove.co.uk/properties/154168208#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/153736361#/?channel=RES_BUY
410000,4,Semi-Detached,https://www.rightmove.co.uk/properties/158508668#/?channel=RES_BUY
415000,3,Semi-Detached,https://www.rightmove.co.uk/properties/158351504#/?channel=RES_BUY
425000,2,Semi-Detached,https://www.rightmove.co.uk/properties/160015484#/?channel=RES_BUY
425000,2,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/156260444#/?channel=RES_BUY
425000,2,Semi-Detached,https://www.rightmove.co.uk/properties/157964747#/?channel=RES_BUY
425000,3,Terraced,https://www.rightmove.co.uk/properties/87143478#/?channel=RES_BUY
425000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159605273#/?channel=RES_BUY
