price,beds,property_type,url
191000,1,Apartment,https://www.rightmove.co.uk/properties/161207309#/?channel=RES_BUY
195000,1,Apartment,https://www.rightmove.co.uk/properties/158513165#/?channel=RES_BUY
200000,1,Flat,https://www.rightmove.co.uk/properties/159053498#/?channel=RES_BUY
200000,2,Terraced,https://www.rightmove.co.uk/properties/161954555#/?channel=RES_BUY
210000,1,Semi-Detached,https://www.rightmove.co.uk/properties/152960945#/?channel=RES_BUY
215000,1,Flat,https://www.rightmove.co.uk/properties/161574779#/?channel=RES_BUY
225000,1,Semi-Detached,https://www.rightmove.co.uk/properties/160896821#/?channel=RES_BUY
225000,2,Flat,https://www.rightmove.co.uk/properties/160489034#/?channel=RES_BUY
231000,2,Semi-Detached,https://www.rightmove.co.uk/properties/87157431#/?channel=RES_BUY
240000,3,Terraced,https://www.rightmove.co.uk/properties/161301971#/?channel=RES_BUY
240000,3,Terraced,https://www.rightmove.co.uk/properties/161142089#/?channel=RES_BUY
247500,2,Terraced,https://www.rightmove.co.uk/properties/160800350#/?channel=RES_BUY
250000,2,Terraced,https://www.rightmove.co.uk/properties/148667174#/?channel=RES_BUY
265000,1,Terraced,https://www.rightmove.co.uk/properties/161444588#/?channel=RES_BUY
275000,3,End of Terrace,https://www.rightmove.co.uk/properties/148667189#/?channel=RES_BUY
280000,1,Terraced,https://www.rightmove.co.uk/properties/150817619#/?channel=RES_BUY
280000,2,Terraced,https://www.rightmove.co.uk/properties/162857831#/?channel=RES_BUY
280000,2,Ground Maisonette,https://www.rightmove.co.uk/properties/157401425#/?channel=RES_BUY
290000,2,Terraced,https://www.rightmove.co.uk/properties/158626412#/?channel=RES_BUY
300000,1,Terraced,https://www.rightmove.co.uk/properties/155979794#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/157555106#/?channel=RES_BUY
300000,2,Ground Flat,https://www.rightmove.co.uk/properties/152135528#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/159504275#/?channel=RES_BUY
300000,2,End of Terrace,https://www.rightmove.co.uk/properties/160637282#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/150434939#/?channel=RES_BUY
315000,2,Terraced,https://www.rightmove.co.uk/properties/159118874#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/162464729#/?channel=RES_BUY
325000,2,End of Terrace,https://www.rightmove.co.uk/properties/157456346#/?channel=RES_BUY
325000,2,Semi-Detached,https://www.rightmove.co.uk/properties/158511572#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/148667225#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/157867121#/?channel=RES_BUY
330000,2,House,https://www.rightmove.co.uk/properties/161233442#/?channel=RES_BUY
330000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161421539#/?channel=RES_BUY
340000,2,Terraced,https://www.rightmove.co.uk/properties/161429738#/?channel=RES_BUY
340000,2,Terraced,https://www.rightmove.co.uk/properties/149007053#/?channel=RES_BUY
340000,3,Terraced,https://www.rightmove.co.uk/properties/156689213#/?channel=RES_BUY
345000,2,Apartment,https://www.rightmove.co.uk/properties/153118127#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/160573895#/?channel=RES_BUY
350000,3,Semi-Detached,https://www.rightmove.co.uk/properties/157002110#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/161954363#/?channel=RES_BUY
350000,3,End of Terrace,https://www.rightmove.co.uk/properties/158585279#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/157483244#/?channel=RES_BUY
350000,2,Apartment,https://www.rightmove.co.uk/properties/149543192#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/157127606#/?channel=RES_BUY
350000,3,Terraced,https://www.rightmove.co.uk/properties/153179126#/?channel=RES_BUY
350000,2,Semi-Detached,https://www.rightmove.co.uk/properties/161154605#/?channel=RES_BUY
350000,2,Terraced,https://www.rightmove.co.uk/properties/160798802#/?channel=RES_BUY
350000,3,End of Terrace,https://www.rightmove.co.uk/properties/163002437#/?channel=RES_BUY
350000,2,End of Terrace,https://www.rightmove.co.uk/properties/161583695#/?channel=RES_BUY
350000,2,Semi-Detached,https://www.rightmove.co.uk/properties/159405677#/?channel=RES_BUY
350000,1,Terraced,https://www.rightmove.co.uk/properties/159774149#/?channel=RES_BUY
360000,2,Semi-Detached,https://www.rightmove.co.uk/properties/161301977#/?channel=RES_BUY
360000,2,Terraced,https://www.rightmove.co.uk/properties/162366392#/?channel=RES_BUY
360000,2,Semi-Detached,https://www.rightmove.co.uk/properties/158889452#/?channel=RES_BUY
360000,2,Apartment,https://www.rightmove.co.uk/properties/156537536#/?channel=RES_BUY
365000,2,End of Terrace,https://www.rightmove.co.uk/properties/160752359#/?channel=RES_BUY
