price,beds,property_type,url
250000,1,Flat,https://www.rightmove.co.uk/properties/159862211#/?channel=RES_BUY
250000,1,Apartment,https://www.rightmove.co.uk/properties/155618597#/?channel=RES_BUY
350000,1,Ground Flat,https://www.rightmove.co.uk/properties/135109973#/?channel=RES_BUY
360000,1,Bungalow,https://www.rightmove.co.uk/properties/160574129#/?channel=RES_BUY
380000,2,End of Terrace,https://www.rightmove.co.uk/properties/161843498#/?channel=RES_BUY
400000,1,Apartment,https://www.rightmove.co.uk/properties/155722412#/?channel=RES_BUY
450000,2,Flat,https://www.rightmove.co.uk/properties/156262793#/?channel=RES_BUY
475000,2,Semi-Detached,https://www.rightmove.co.uk/properties/159705791#/?channel=RES_BUY
500000,2,Flat,https://www.rightmove.co.uk/properties/161401910#/?channel=RES_BUY
500000,2,Maisonette,https://www.rightmove.co.uk/properties/162482858#/?channel=RES_BUY
515000,2,End of Terrace,https://www.rightmove.co.uk/properties/157770269#/?channel=RES_BUY
535000,3,Terraced,https://www.rightmove.co.uk/properties/162455669#/?channel=RES_BUY
575000,3,End of Terrace,https://www.rightmove.co.uk/properties/160052711#/?channel=RES_BUY
595000,2,Semi-Detached,https://www.rightmove.co.uk/properties/159266750#/?channel=RES_BUY
600000,2,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/161353688#/?channel=RES_BUY
600000,3,Terraced,https://www.rightmove.co.uk/properties/162498023#/?channel=RES_BUY
600000,4,House,https://www.rightmove.co.uk/properties/162689582#/?channel=RES_BUY
600000,2,Not Specified,https://www.rightmove.co.uk/properties/162594260#/?channel=RES_BUY
600000,2,Flat,https://www.rightmove.co.uk/properties/161202398#/?channel=RES_BUY
615000,2,End of Terrace,https://www.rightmove.co.uk/properties/154162838#/?channel=RES_BUY
625000,3,Terraced,https://www.rightmove.co.uk/properties/152395577#/?channel=RES_BUY
650000,3,End of Terrace,https://www.rightmove.co.uk/properties/159373532#/?channel=RES_BUY
665000,2,Town House,https://www.rightmove.co.uk/properties/162646505#/?channel=RES_BUY
6500000,6,Detached,https://www.rightmove.co.uk/properties/162650327#/?channel=RES_BUY
675000,2,Terraced,https://www.rightmove.co.uk/properties/87143988#/?channel=RES_BUY
675000,2,House,https://www.rightmove.co.uk/properties/161209661#/?channel=RES_BUY
675000,4,House,https://www.rightmove.co.uk/properties/160561472#/?channel=RES_BUY
675000,3,House,https://www.rightmove.co.uk/properties/161323754#/?channel=RES_BUY
675000,2,Terraced,https://www.rightmove.co.uk/properties/158895389#/?channel=RES_BUY
680000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162221645#/?channel=RES_BUY
695000,3,Flat,https://www.rightmove.co.uk/properties/162979049#/?channel=RES_BUY
699950,4,Semi-Detached,https://www.rightmove.co.uk/properties/162703280#/?channel=RES_BUY
700000,3,End of Terrace,https://www.rightmove.co.uk/properties/159823547#/?channel=RES_BUY
700000,2,House,https://www.rightmove.co.uk/properties/159653378#/?channel=RES_BUY
700000,2,Semi-Detached,https://www.rightmove.co.uk/properties/161600309#/?channel=RES_BUY
700000,3,Flat,https://www.rightmove.co.uk/properties/159163805#/?channel=RES_BUY
700000,2,Semi-Detached,https://www.rightmove.co.uk/properties/161682806#/?channel=RES_BUY
700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/156253268#/?channel=RES_BUY
725000,2,House,https://www.rightmove.co.uk/properties/162740804#/?channel=RES_BUY
725000,2,Duplex,https://www.rightmove.co.uk/properties/159526220#/?channel=RES_BUY
725000,2,Terraced,https://www.rightmove.co.uk/properties/159599573#/?channel=RES_BUY
725000,3,Terraced,https://www.rightmove.co.uk/properties/161406929#/?channel=RES_BUY
735000,2,Duplex,https://www.rightmove.co.uk/properties/159520751#/?channel=RES_BUY
735000,3,Terraced,https://www.rightmove.co.uk/properties/162297398#/?channel=RES_BUY
750000,3,Terraced,https://www.rightmove.co.uk/properties/156940880#/?channel=RES_BUY
750000,1,Terraced,https://www.rightmove.co.uk/properties/156425381#/?channel=RES_BUY
750000,2,Detached,https://www.rightmove.co.uk/properties/162809351#/?channel=RES_BUY
750000,3,Terraced,https://www.rightmove.co.uk/properties/161432417#/?channel=RES_BUY
6500000,6,Detached,https://www.rightmove.co.uk/properties/162650327#/?channel=RES_BUY
750000,2,House,https://www.rightmove.co.uk/properties/161262968#/?channel=RES_BUY
750000,4,End of Terrace,https://www.rightmove.co.uk/properties/161406947#/?channel=RES_BUY
774950,3,Terraced,https://www.rightmove.co.uk/properties/157749857#/?channel=RES_BUY
775000,2,Detached,https://www.rightmove.co.uk/properties/153554840#/?channel=RES_BUY
795000,3,Terraced,https://www.rightmove.co.uk/properties/153967766#/?channel=RES_BUY
795000,2,Terraced,https://www.rightmove.co.uk/properties/161349959#/?channel=RES_BUY
795000,1,Link Detached House,https://www.rightmove.co.uk/properties/154453646#/?channel=RES_BUY
799950,3,House,https://www.rightmove.co.uk/properties/156195533#/?channel=RES_BUY
800000,3,Terraced,https://www.rightmove.co.uk/properties/162311903#/?channel=RES_BUY
800000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162544268#/?channel=RES_BUY
800000,3,Terraced,https://www.rightmove.co.uk/properties/156252977#/?channel=RES_BUY
800000,2,Terraced,https://www.rightmove.co.uk/properties/161398886#/?channel=RES_BUY
810000,2,Terraced,https://www.rightmove.co.uk/properties/160383419#/?channel=RES_BUY
