price,beds,property_type,url
200000,3,Terraced,https://www.rightmove.co.uk/properties/156969638#/?channel=RES_BUY
278500,2,End of Terrace,https://www.rightmove.co.uk/properties/160647182#/?channel=RES_BUY
290000,2,Terraced,https://www.rightmove.co.uk/properties/158486912#/?channel=RES_BUY
300000,2,Terraced Bungalow,https://www.rightmove.co.uk/properties/159159134#/?channel=RES_BUY
300000,2,Terraced,https://www.rightmove.co.uk/properties/162771953#/?channel=RES_BUY
315000,3,Terraced,https://www.rightmove.co.uk/properties/162649418#/?channel=RES_BUY
320000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162057854#/?channel=RES_BUY
320000,3,Semi-Detached,https://www.rightmove.co.uk/properties/156561461#/?channel=RES_BUY
325000,3,Terraced,https://www.rightmove.co.uk/properties/157511789#/?channel=RES_BUY
325000,2,Terraced,https://www.rightmove.co.uk/properties/154387208#/?channel=RES_BUY
325000,2,End of Terrace,https://www.rightmove.co.uk/properties/159653465#/?channel=RES_BUY
330000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160675190#/?channel=RES_BUY
330000,3,Semi-Detached,https://www.rightmove.co.uk/properties/156614651#/?channel=RES_BUY
335000,2,Semi-Detached,https://www.rightmove.co.uk/properties/156349403#/?channel=RES_BUY
340000,3,Terraced,https://www.rightmove.co.uk/properties/162024149#/?channel=RES_BUY
340000,2,Terraced,https://www.rightmove.co.uk/properties/156428900#/?channel=RES_BUY
345000,3,Terraced,https://www.rightmove.co.uk/properties/159660443#/?channel=RES_BUY
350000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159177269#/?channel=RES_BUY
350000,5,Semi-Detached,https://www.rightmove.co.uk/properties/154837331#/?channel=RES_BUY
350000,4,Semi-Detached,https://www.rightmove.co.uk/properties/158473970#/?channel=RES_BUY
350000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159426317#/?channel=RES_BUY
365000,4,Semi-Detached,https://www.rightmove.co.uk/properties/161764406#/?channel=RES_BUY
365000,2,Terraced,https://www.rightmove.co.uk/properties/160088201#/?channel=RES_BUY
365000,5,Terraced,https://www.rightmove.co.uk/properties/158042810#/?channel=RES_BUY
365000,5,Terraced,https://www.rightmove.co.uk/properties/161693438#/?channel=RES_BUY
370000,4,Semi-Detached,https://www.rightmove.co.uk/properties/161335028#/?channel=RES_BUY
375000,2,Terraced Bungalow,https://www.rightmove.co.uk/properties/161955566#/?channel=RES_BUY
375000,4,Semi-Detached,https://www.rightmove.co.uk/properties/145452323#/?channel=RES_BUY
375000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162624713#/?channel=RES_BUY
375000,2,Bungalow,https://www.rightmove.co.uk/properties/158117624#/?channel=RES_BUY
379500,3,End of Terrace,https://www.rightmove.co.uk/properties/156118250#/?channel=RES_BUY
380000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159261149#/?channel=RES_BUY
385000,4,Semi-Detached,https://www.rightmove.co.uk/properties/160808024#/?channel=RES_BUY
387000,3,Semi-Detached,https://www.rightmove.co.uk/properties/152829419#/?channel=RES_BUY
390000,3,End of Terrace,https://www.rightmove.co.uk/properties/160461038#/?channel=RES_BUY
390000,3,Terraced,https://www.rightmove.co.uk/properties/162595175#/?channel=RES_BUY
395000,2,Terraced,https://www.rightmove.co.uk/properties/158431898#/?channel=RES_BUY
395000,3,Terraced,https://www.rightmove.co.uk/properties/162793166#/?channel=RES_BUY
395000,3,Bungalow,https://www.rightmove.co.uk/properties/156942800#/?channel=RES_BUY
395000,2,End of Terrace,https://www.rightmove.co.uk/properties/158552639#/?channel=RES_BUY
399995,3,Terraced,https://www.rightmove.co.uk/properties/158921675#/?channel=RES_BUY
399995,2,Bungalow,https://www.rightmove.co.uk/properties/156826763#/?channel=RES_BUY
400000,3,End of Terrace,https://www.rightmove.co.uk/properties/157439534#/?channel=RES_BUY
400000,2,Terraced,https://www.rightmove.co.uk/properties/159141140#/?channel=RES_BUY
400000,2,Semi-Detached,https://www.rightmove.co.uk/properties/155736731#/?channel=RES_BUY
400000,3,End of Terrace,https://www.rightmove.co.uk/properties/159509861#/?channel=RES_BUY
400000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162453269#/?channel=RES_BUY
400000,3,Terraced,https://www.rightmove.co.uk/properties/158668337#/?channel=RES_BUY
400000,2,Semi-Detached,https://www.rightmove.co.uk/properties/162936944#/?channel=RES_BUY
