price,beds,property_type,url
400000,3,Mews,https://www.rightmove.co.uk/properties/151072790#/?channel=RES_BUY
450000,3,Terraced,https://www.rightmove.co.uk/properties/162388478#/?channel=RES_BUY
485000,2,Terraced,https://www.rightmove.co.uk/properties/162826634#/?channel=RES_BUY
499995,2,Semi-Detached,https://www.rightmove.co.uk/properties/156580838#/?channel=RES_BUY
500000,3,Terraced,https://www.rightmove.co.uk/properties/154589438#/?channel=RES_BUY
500000,3,Semi-Detached,https://www.rightmove.co.uk/properties/158619002#/?channel=RES_BUY
525000,2,Terraced,https://www.rightmove.co.uk/properties/151625843#/?channel=RES_BUY
525000,2,Apartment,https://www.rightmove.co.uk/properties/162804728#/?channel=RES_BUY
535000,3,Terraced,https://www.rightmove.co.uk/properties/144061292#/?channel=RES_BUY
539000,2,End of Terrace,https://www.rightmove.co.uk/properties/156741899#/?channel=RES_BUY
550000,2,Terraced,https://www.rightmove.co.uk/properties/162042602#/?channel=RES_BUY
550000,3,Terraced,https://www.rightmove.co.uk/properties/162300965#/?channel=RES_BUY
550000,3,Terraced,https://www.rightmove.co.uk/properties/161140610#/?channel=RES_BUY
550000,2,Semi-Detached,https://www.rightmove.co.uk/properties/158843192#/?channel=RES_BUY
560000,3,Terraced,https://www.rightmove.co.uk/properties/157258352#/?channel=RES_BUY
565000,3,Terraced,https://www.rightmove.co.uk/properties/161988926#/?channel=RES_BUY
570000,3,Terraced,https://www.rightmove.co.uk/properties/161076236#/?channel=RES_BUY
575000,4,Terraced,https://www.rightmove.co.uk/properties/162955550#/?channel=RES_BUY
575000,2,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/159369560#/?channel=RES_BUY
575000,2,Terraced,https://www.rightmove.co.uk/properties/162852578#/?channel=RES_BUY
585000,3,End of Terrace,https://www.rightmove.co.uk/properties/161214305#/?channel=RES_BUY
585000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162999248#/?channel=RES_BUY
590000,4,Terraced,https://www.rightmove.co.uk/properties/160134338#/?channel=RES_BUY
600000,3,Town House,https://www.rightmove.co.uk/properties/151758176#/?channel=RES_BUY
600000,3,End of Terrace,https://www.rightmove.co.uk/properties/161373200#/?channel=RES_BUY
600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161248145#/?channel=RES_BUY
625000,3,Terraced,https://www.rightmove.co.uk/properties/156855959#/?channel=RES_BUY
625000,4,Terraced,https://www.rightmove.co.uk/properties/160429331#/?channel=RES_BUY
625000,3,Terraced,https://www.rightmove.co.uk/properties/160735247#/?channel=RES_BUY
625000,3,Bungalow,https://www.rightmove.co.uk/properties/152596529#/?channel=RES_BUY
625000,3,Terraced,https://www.rightmove.co.uk/properties/152096693#/?channel=RES_BUY
625000,2,End of Terrace,https://www.rightmove.co.uk/properties/162037955#/?channel=RES_BUY
635000,3,Town House,https://www.rightmove.co.uk/properties/161080853#/?channel=RES_BUY
650000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160902581#/?channel=RES_BUY
650000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160604870#/?channel=RES_BUY
650000,3,Terraced,https://www.rightmove.co.uk/properties/162375857#/?channel=RES_BUY
650000,3,Terraced,https://www.rightmove.co.uk/properties/162287417#/?channel=RES_BUY
650000,3,Terraced,https://www.rightmove.co.uk/properties/162305246#/?channel=RES_BUY
650000,4,Chalet,https://www.rightmove.co.uk/properties/157757432#/?channel=RES_BUY
675000,4,Semi-Detached,https://www.rightmove.co.uk/properties/156811964#/?channel=RES_BUY
675000,3,Semi-Detached,https://www.rightmove.co.uk/properties/162570386#/?channel=RES_BUY
685000,3,Detached,https://www.rightmove.co.uk/properties/158450330#/?channel=RES_BUY
700000,4,End of Terrace,https://www.rightmove.co.uk/properties/87063159#/?channel=RES_BUY
700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/158120546#/?channel=RES_BUY
700000,3,House,https://www.rightmove.co.uk/properties/161076110#/?channel=RES_BUY
700000,4,End of Terrace,https://www.rightmove.co.uk/properties/154719605#/?channel=RES_BUY
700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161457410#/?channel=RES_BUY
700000,3,End of Terrace,https://www.rightmove.co.uk/properties/162455645#/?channel=RES_BUY
710000,3,Semi-Detached,https://www.rightmove.co.uk/properties/159039380#/?channel=RES_BUY
725000,4,Terraced,https://www.rightmove.co.uk/properties/161424020#/?channel=RES_BUY
725000,4,Terraced,https://www.rightmove.co.uk/properties/162040838#/?channel=RES_BUY
725000,4,Terraced,https://www.rightmove.co.uk/properties/156394805#/?channel=RES_BUY
725000,4,Detached,https://www.rightmove.co.uk/properties/148622132#/?channel=RES_BUY
725000,3,Terraced,https://www.rightmove.co.uk/properties/159879704#/?channel=RES_BUY
735000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161761436#/?channel=RES_BUY
750000,4,Semi-Detached,https://www.rightmove.co.uk/properties/158763041#/?channel=RES_BUY
750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/158666666#/?channel=RES_BUY
750000,3,Detached,https://www.rightmove.co.uk/properties/162562355#/?channel=RES_BUY
750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/161972822#/?channel=RES_BUY
750000,4,Semi-Detached,https://www.rightmove.co.uk/properties/146371970#/?channel=RES_BUY
750000,4,Terraced,https://www.rightmove.co.uk/properties/162604454#/?channel=RES_BUY
750000,4,Terraced,https://www.rightmove.co.uk/properties/160153871#/?channel=RES_BUY
750000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162966518#/?channel=RES_BUY
750000,4,Town House,https://www.rightmove.co.uk/properties/162735122#/?channel=RES_BUY
760000,3,Semi-Detached,https://www.rightmove.co.uk/properties/153372284#/?channel=RES_BUY
775000,4,End of Terrace,https://www.rightmove.co.uk/properties/153211085#/?channel=RES_BUY
775000,4,Semi-Detached,https://www.rightmove.co.uk/properties/157458188#/?channel=RES_BUY
785000,5,End of Terrace,https://www.rightmove.co.uk/properties/162346862#/?channel=RES_BUY
800000,4,End of Terrace,https://www.rightmove.co.uk/properties/160774826#/?channel=RES_BUY
800000,3,Semi-Detached,https://www.rightmove.co.uk/properties/146889593#/?channel=RES_BUY
800000,5,End of Terrace,https://www.rightmove.co.uk/properties/160515410#/?channel=RES_BUY
800000,3,End of Terrace,https://www.rightmove.co.uk/properties/161664548#/?channel=RES_BUY
810000,2,Bungalow,https://www.rightmove.co.uk/properties/155385707#/?channel=RES_BUY
825000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160591922#/?channel=RES_BUY
830000,4,Detached Bungalow,https://www.rightmove.co.uk/properties/130302563#/?channel=RES_BUY
850000,4,Semi-Detached,https://www.rightmove.co.uk/properties/160751369#/?channel=RES_BUY
850000,4,Link Detached House,https://www.rightmove.co.uk/properties/158858399#/?channel=RES_BUY
850000,4,House,https://www.rightmove.co.uk/properties/162542903#/?channel=RES_BUY
850000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162205727#/?channel=RES_BUY
850000,3,Detached,https://www.rightmove.co.uk/properties/159930335#/?channel=RES_BUY
875000,5,Detached,https://www.rightmove.co.uk/properties/161807240#/?channel=RES_BUY
875000,4,Detached,https://www.rightmove.co.uk/properties/150873860#/?channel=RES_BUY
895000,4,House,https://www.rightmove.co.uk/properties/162367709#/?channel=RES_BUY
895000,2,Detached Bungalow,https://www.rightmove.co.uk/properties/161076233#/?channel=RES_BUY
900000,4,Detached,https://www.rightmove.co.uk/properties/158945840#/?channel=RES_BUY
900000,4,End of Terrace,https://www.rightmove.co.uk/properties/159115124#/?channel=RES_BUY
900000,4,Detached,https://www.rightmove.co.uk/properties/161863730#/?channel=RES_BUY
900000,4,Detached,https://www.rightmove.co.uk/properties/161865824#/?channel=RES_BUY
950000,9,Semi-Detached,https://www.rightmove.co.uk/properties/152628446#/?channel=RES_BUY
950000,5,Detached,https://www.rightmove.co.uk/properties/156864902#/?channel=RES_BUY
950000,3,Detached,https://www.rightmove.co.uk/properties/161761445#/?channel=RES_BUY
975000,5,Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/162317303#/?channel=RES_BUY
975000,3,Detached,https://www.rightmove.co.uk/properties/157690136#/?channel=RES_BUY
1000000,3,Detached,https://www.rightmove.co.uk/properties/162915584#/?channel=RES_BUY
1000000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162856391#/?channel=RES_BUY
1000000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162548681#/?channel=RES_BUY
1000000,4,Semi-Detached,https://www.rightmove.co.uk/properties/150746438#/?channel=RES_BUY
1050000,5,Semi-Detached,https://www.rightmove.co.uk/properties/86754660#/?channel=RES_BUY
1050000,4,Detached,https://www.rightmove.co.uk/properties/159544688#/?channel=RES_BUY
1100000,4,Detached,https://www.rightmove.co.uk/properties/162090176#/?channel=RES_BUY
1100000,3,Semi-Detached,https://www.rightmove.co.uk/properties/160250036#/?channel=RES_BUY
1125000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162463235#/?channel=RES_BUY
1150000,4,Semi-Detached,https://www.rightmove.co.uk/properties/159934589#/?channel=RES_BUY
1150000,4,Semi-Detached,https://www.rightmove.co.uk/properties/159112766#/?channel=RES_BUY
1200000,4,Detached,https://www.rightmove.co.uk/properties/160360868#/?channel=RES_BUY
1200000,3,Detached,https://www.rightmove.co.uk/properties/161393696#/?channel=RES_BUY
1200000,3,Semi-Detached,https://www.rightmove.co.uk/properties/155563148#/?channel=RES_BUY
1250000,5,Detached,https://www.rightmove.co.uk/properties/161172230#/?channel=RES_BUY
1250000,5,End of Terrace,https://www.rightmove.co.uk/properties/159647204#/?channel=RES_BUY
1250000,4,End of Terrace,https://www.rightmove.co.uk/properties/160134860#/?channel=RES_BUY
1250000,5,Semi-Detached,https://www.rightmove.co.uk/properties/155907971#/?channel=RES_BUY
1300000,4,Semi-Detached,https://www.rightmove.co.uk/properties/162371645#/?channel=RES_BUY
1300000,4,Detached,https://www.rightmove.co.uk/properties/162739271#/?channel=RES_BUY
1350000,4,Detached,https://www.rightmove.co.uk/properties/160209275#/?channel=RES_BUY
1350000,5,Detached,https://www.rightmove.co.uk/properties/158542241#/?channel=RES_BUY
1400000,4,Detached,https://www.rightmove.co.uk/properties/157171742#/?channel=RES_BUY
1425000,4,Detached,https://www.rightmove.co.uk/properties/152335178#/?channel=RES_BUY
1550000,4,Detached,https://www.rightmove.co.uk/properties/161264483#/?channel=RES_BUY
1600000,4,Detached,https://www.rightmove.co.uk/properties/162799772#/?channel=RES_BUY
1600000,4,Detached,https://www.rightmove.co.uk/properties/159796073#/?channel=RES_BUY
1600000,4,Detached,https://www.rightmove.co.uk/properties/160318580#/?channel=RES_BUY
1650000,5,Semi-Detached,https://www.rightmove.co.uk/properties/162830543#/?channel=RES_BUY
1650000,5,Detached,https://www.rightmove.co.uk/properties/157896383#/?channel=RES_BUY
1650000,5,Semi-Detached,https://www.rightmove.co.uk/properties/162830708#/?channel=RES_BUY
1750000,6,Semi-Detached,https://www.rightmove.co.uk/properties/161033612#/?channel=RES_BUY
1850000,5,Detached,https://www.rightmove.co.uk/properties/162310199#/?channel=RES_BUY
1900000,4,Detached,https://www.rightmove.co.uk/properties/160739675#/?channel=RES_BUY
2000000,5,Detached,https://www.rightmove.co.uk/properties/162212192#/?channel=RES_BUY
2200000,5,Detached,https://www.rightmove.co.uk/properties/158347787#/?channel=RES_BUY
